"uf","total_acidentes","total_mortos","acidentes_fatais","perc_fatais"
"MA","1262","281","236","18"
"PA","1117","224","193","17"
"RR","142","28","23","16"
"AM","138","26","19","13"
"AL","629","96","86","13"
"TO","677","102","83","12"
"CE","1302","171","153","11"
"BA","4108","583","476","11"
"PI","1490","168","149","10"
"PE","3013","336","302","10"
"AC","280","29","29","10"
"MS","1654","150","136","8"
"SE","589","51","44","7"
"MT","2636","243","204","7"
"GO","3196","308","247","7"
"RN","1648","111","102","6"
"PR","7630","593","511","6"
"PB","1978","142","127","6"
"MG","9570","765","647","6"
"RS","4899","327","275","5"
"RO","1452","102","86","5"
"ES","2642","161","145","5"
"AP","169","14","9","5"
"SP","4683","221","205","4"
"SC","8186","434","374","4"
"RJ","6428","330","306","4"
"DF","1011","47","43","4"
