"br","total_mortos","total_acidentes"
"101","760","13014"
"116","708","11021"
"153","282","2789"
"40","214","3502"
"163","210","2519"
"316","201","1236"
"230","192","1745"
"381","190","3496"
"364","173","2264"
"262","169","1769"
"277","152","2157"
"222","128","581"
"470","123","1388"
"376","121","1762"
"232","105","830"
"135","105","559"
"282","100","1379"
"10","95","506"
"365","87","600"
"70","86","1084"
"158","82","683"
"60","75","1081"
"242","73","283"
"369","72","915"
"20","69","699"
"324","63","942"
"386","60","623"
"110","60","339"
"423","59","183"
"251","58","342"
